"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0011037030","0240","2010-01-04T20:10:00.000","0","LA LOMA PUEBLO NUEVO - En Siniestro","CHOCÓ","RIO QUITO (PAIMADÓ)","ATRATO - DARIÉN","5.585","-76.753","Precipitacion","mm"
"0027015320","0240","2019-02-21T13:30:00.000","0","ARAGON - AUT","ANTIOQUIA","SANTA ROSA DE OSOS","NECHÍ","6.781083333","-75.560888889","Precipitacion","mm"
"0021206990","0240","2013-09-09T12:40:00.000","0","TIBAITATA - AUT","CUNDINAMARCA","MOSQUERA","ALTO MAGDALENA","4.691416667","-74.209","Precipitacion","mm"
"0023125160","0240","2011-09-08T08:00:00.000","0","SAN PABLO DE BORBUR  - AUT","BOYACÁ","SAN PABLO DE BORBUR","MEDIO MAGDALENA","5.647027778","-74.07130556","Precipitacion","mm"
"0016025503","0240","2019-05-09T12:30:00.000","0","GRAMALOTE  - AUT","NORTE DE SANTANDER","GRAMALOTE","CATATUMBO","7.923163889","-72.83375556","Precipitacion","mm"
"0021045501","0240","2018-05-25T04:15:00.000","0","OPORAPA  - AUT","HUILA","OPORAPA","ALTO MAGDALENA","2.041941667","-76.01191667","Precipitacion","mm"
"2120000103","0240","2019-02-14T10:47:00.000","0","CERRO NORTE - AUT","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.733","-74.019","Precipitacion","mm"
"0021137010","0240","2018-01-16T02:40:00.000","0","PURIFICACION","TOLIMA","PURIFICACIÓN","ALTO MAGDALENA","3.85","-74.936","Precipitacion","mm"
"0052055501","0240","2018-01-31T21:45:00.000","0","OSPINA PEREZ  - AUT","NARIÑO","CONSACÁ","PATÍA","1.254722222","-77.48777778","Precipitacion","mm"
"0016015130","0240","2014-10-14T06:50:00.000","0","ALCALDIA DE HERRAN  - AUT","NORTE DE SANTANDER","HERRÁN","CATATUMBO","7.506722222","-72.48536111","Precipitacion","mm"
"0011105020","0240","2019-06-29T20:50:00.000","0.2","CARMEN DARIEN","CHOCÓ","CARMEN DEL DARIÉN  (CURBARADÓ)","ATRATO - DARIÉN","7.154","-76.977","Precipitacion","mm"
"0011159010","0240","2015-10-05T21:40:00.000","0","CAPURGANA - TX GPRS","CHOCÓ","ACANDÍ","ATRATO - DARIÉN","8.616","-77.331","Precipitacion","mm"
"0013055040","0240","2007-05-20T19:40:00.000","0.1","INCODER - AUT","CORDOBA","MONTERÍA","SINÚ","8.746944444","-75.91388889","Precipitacion","mm"
"0026075120","0240","2017-08-18T23:50:00.000","0","LA DIANA - AUT","VALLE DEL CAUCA","FLORIDA","CAUCA","3.314055556","-76.18569444","Precipitacion","mm"
"0023157030","0240","2013-07-22T15:00:00.000","0","BARRANCABERMEJA  - AUT","SANTANDER","BARRANCABERMEJA","MEDIO MAGDALENA","7.060194444","-73.876","Precipitacion","mm"
"0052015501","0240","2019-01-15T02:40:00.000","0","BALBOA  - AUT","CAUCA","BALBOA","PATÍA","2.125191667","-77.19266667","Precipitacion","mm"
"0021202180","0240","2012-04-18T20:25:00.000","0","QUIBA - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.543","-74.156","Precipitacion","mm"
"0012015100","0240","2018-05-02T17:10:00.000","0","PISTA INDIRA - AUT","ANTIOQUIA","TURBO","CARIBE - LITORAL","7.94075","-76.69616667","Precipitacion","mm"
"0035225030","0240","2017-12-07T12:20:07.000","0","PERENCO: MODULOS","CASANARE","OROCUÉ","META","4.91","-71.433","Precipitacion","mm"
"0026095320","0240","2018-04-06T12:40:00.000","0","EL VINCULO - AUT","VALLE DEL CAUCA","BUGA","CAUCA","3.834805556","-76.30000556","Precipitacion","mm"
"0021215160","0240","2016-11-16T14:00:00.000","0","CERROS NOROCCIDENTALES  - AUT","TOLIMA","IBAGUÉ","ALTO MAGDALENA","4.470361111","-75.24386111","Precipitacion","mm"
"0015065190","0240","2017-08-02T07:20:00.000","0","MONGUI","LA GUAJIRA","RIOHACHA","CARIBE - GUAJIRA","11.227","-72.821","Precipitacion","mm"
"0023050420","0240","2012-03-08T04:20:00.000","0","ARGELIA ANTIOQUIA - AUT","ANTIOQUIA","ARGELIA","MEDIO MAGDALENA","5.731138889","-75.13852778","Precipitacion","mm"
